группа деканата;псевдоним
0.О.5.П.Тест_Оператора.1.М;Выпуск_2013
2004.З.5.П.ИЗиУО.1.М;Отчисленные 2012 ВО
2004.З.5.П.ФПБП.60.Б;460
2006.З.5.П.ИЗиУО.2.М;ОДО-2__2010
2006.З.5.П.ИЗиУО.41.М;ОДО-541-2013
2006.З.5.СОП.ИЗиУО.41.М;541 ОДО
2008.З.5.П.ИЗиУО.7.Б;507-Б
2008.О.5.ВВ.ФМП.1.С;101
2009.О.5.Восст.П.ФПБП.60.Б;460 повторник
2010.В.5.П.ВФ.1.С;61
2010.В.5.П.ВФ.3.С;63
2010.З.5.Восст.ИГиМП.1.С;641
2010.З.5.Восст.СОП.ИЗиУО.1.М;Повторники СПО СПЕЦИАЛИСТЫ 2015
2010.З.5.П.ИГиМП.40.С;640_2016
2010.З.5.П.ИГиМП.41.С;641_2016
2010.З.5.П.ИЗиУО.1.С;601
2010.З.5.П.ИЗиУО.2.С;602
2010.З.5.П.ИЗиУО.3.С;603
2010.З.5.П.ИЗиУО.4.С;604
2010.З.5.П.ИЗиУО.6.С;повторники СО - 2016
2010.З.5.П.Уфа.1.М;СОЗ_2010
2010.З.5.СОП.ИЗиУО.1.С;Повторники СПО специалисты - 2016
2010.З.5.СОП.ИЗиУО.415.С;515-C
2010.О.2.П.ИЮ.15.М;515
2010.О.29.Восст.П.ИГиМП.1.М;Повторники (специалисты) м-п
2010.О.5.Восст.П.ИГиМП.1.М;Повторники (специалисты) г-п_2015
2010.О.5.П.ИП.1.М;500_ИП15
2010.О.5.П.ИЮ.18.М;518
2010.О.5.П.ИЮ.21.М;521
2011.З.5.ВВ.ИЗиУО.1.Б;Норсоян
2011.З.5.ВВ.Уфа.1.Б;ВОЗ_2013
2011.З.5.ВВ.ФМП.8.С;208
2011.З.5.Восст.ВВ.ИЗиУО.1.Б;Повторники-ВО-2015
2011.З.5.Восст.ВВ.ИЗиУО.26.Б;426_повторники
2011.З.5.Восст.ИЗиУО.5.Б;505
2011.З.5.Восст.СОП.ИЗиУО.1.Б;Повторники СПО БАКАЛАВРЫ 2015
2011.З.5.П.ИГиМП.40.Б;540_2016
2011.З.5.П.ИЗиУО.1.Б;501_2016
2011.З.5.П.ИЗиУО.2.Б;502_2016
2011.З.5.П.ИЗиУО.3.Б;503_2016
2011.З.5.П.ИЗиУО.4.Б;504_2016
2011.З.5.П.ИЗиУО.5.Б;Казахи
2011.З.5.П.Уфа.1.Б;СОЗ_2009
2011.З.5.СОП.ИЗиУО.1.Б;СПЗ_2011
2011.З.5.СОП.ИЗиУО.14.Б;Повторники_лето
2011.З.5.СОП.ИЗиУО.2.Б;СПЗ_2013
2011.О.5.ВВ.ФМП.708.С;708
2011.О.5.П.ИЗиУО.40.Б;ОДО-140
